,lag04,lag03,lag02,lag01,lag00
98,0.2222222,3.9047620000000003,2.7368419999999998,16.0,1.208333
99,3.9047620000000003,2.7368419999999998,16.0,1.208333,1.0
100,2.7368419999999998,16.0,1.208333,1.0,3.105263
101,16.0,1.208333,1.0,3.105263,0.0
102,1.208333,1.0,3.105263,0.0,3.64
103,1.0,3.105263,0.0,3.64,0.3333333
104,3.105263,0.0,3.64,0.3333333,7.181817999999999
105,0.0,3.64,0.3333333,7.181817999999999,1.1764709999999998
106,3.64,0.3333333,7.181817999999999,1.1764709999999998,6.272727
107,0.3333333,7.181817999999999,1.1764709999999998,6.272727,3.588235
108,7.181817999999999,1.1764709999999998,6.272727,3.588235,7.444444
109,1.1764709999999998,6.272727,3.588235,7.444444,20.20588
110,6.272727,3.588235,7.444444,20.20588,6.137931
111,3.588235,7.444444,20.20588,6.137931,7.727272999999999
112,7.444444,20.20588,6.137931,7.727272999999999,6.0
113,20.20588,6.137931,7.727272999999999,6.0,13.4
114,6.137931,7.727272999999999,6.0,13.4,10.21053
115,7.727272999999999,6.0,13.4,10.21053,4.285714
116,6.0,13.4,10.21053,4.285714,8.96
117,13.4,10.21053,4.285714,8.96,7.8333330000000005
118,10.21053,4.285714,8.96,7.8333330000000005,2.7
119,4.285714,8.96,7.8333330000000005,2.7,2.0
120,8.96,7.8333330000000005,2.7,2.0,1.96
121,7.8333330000000005,2.7,2.0,1.96,0.0
122,2.7,2.0,1.96,0.0,5.181818
123,2.0,1.96,0.0,5.181818,0.5294118
124,1.96,0.0,5.181818,0.5294118,15.121210000000001
125,0.0,5.181818,0.5294118,15.121210000000001,5.411765
126,5.181818,0.5294118,15.121210000000001,5.411765,1.9444439999999998
127,0.5294118,15.121210000000001,5.411765,1.9444439999999998,13.03125
128,15.121210000000001,5.411765,1.9444439999999998,13.03125,0.5862069000000001
129,5.411765,1.9444439999999998,13.03125,0.5862069000000001,1.590909
130,1.9444439999999998,13.03125,0.5862069000000001,1.590909,2.7
131,13.03125,0.5862069000000001,1.590909,2.7,3.05
132,0.5862069000000001,1.590909,2.7,3.05,6.31579
133,1.590909,2.7,3.05,6.31579,3.285714
134,2.7,3.05,6.31579,3.285714,1.12
135,3.05,6.31579,3.285714,1.12,0.0
136,6.31579,3.285714,1.12,0.0,7.35
137,3.285714,1.12,0.0,7.35,0.5
138,1.12,0.0,7.35,0.5,0.16
139,0.0,7.35,0.5,0.16,0.5
140,7.35,0.5,0.16,0.5,3.136364
141,0.5,0.16,0.5,3.136364,1.588235
142,0.16,0.5,3.136364,1.588235,11.28125
143,0.5,3.136364,1.588235,11.28125,1.8235290000000002
144,3.136364,1.588235,11.28125,1.8235290000000002,1.833333
145,1.588235,11.28125,1.8235290000000002,1.833333,9.46875
